group,model,feature_set,fold,best_inner_auc,best_params
teens,LR,full,0,0.7608736942070274,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,1,0.7959283000949666,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,2,0.7965343379817064,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,3,0.7500599790073474,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,4,0.7333333333333333,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,5,0.7431030389363723,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,6,0.722673314339981,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,7,0.7559772829509672,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,8,0.7602845254161044,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,9,0.7962962962962964,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,10,0.7804249762583094,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,11,0.7329653371320038,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,12,0.7533963112910481,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,13,0.7870014245014246,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,14,0.7148148148148149,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,15,0.7706315289648623,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,16,0.7349477682811015,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,17,0.7415035987404407,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,18,0.767103388813915,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,19,0.7643518518518518,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,20,0.7564933523266856,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,21,0.7328110161443494,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,22,0.7529989503673714,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,23,0.7547289698605489,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,24,0.7180555555555556,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,25,0.7654439696106362,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,26,0.7462013295346628,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,27,0.7698886639676114,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,28,0.7530308142150247,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,29,0.798611111111111,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,30,0.791820987654321,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,31,0.7208808167141502,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,32,0.7238510271405008,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,33,0.7015369620632779,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,34,0.799074074074074,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,35,0.7682098765432098,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,36,0.7425451092117759,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,37,0.7618439796071375,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,38,0.7731162843004947,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,39,0.7787037037037038,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,40,0.7184472934472934,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,41,0.7730531813865147,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,42,0.7306548957864747,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,43,0.7678100164942271,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,LR,full,44,0.775,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,45,0.7809472934472934,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,46,0.748338081671415,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,47,0.7687565602039287,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,48,0.7745801469485679,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
teens,LR,full,49,0.7273148148148149,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
teens,RF,full,0,0.7605353751187085,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
teens,RF,full,1,0.7892746913580247,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
teens,RF,full,2,0.8043475408606987,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
teens,RF,full,3,0.7545490328385065,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,4,0.7532407407407408,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
teens,RF,full,5,0.7565645773979107,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,6,0.7338675213675213,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,7,0.7309904033588244,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,8,0.770591542959964,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,9,0.7935185185185185,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,10,0.782989078822412,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 5}"
teens,RF,full,11,0.7668566001899335,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
teens,RF,full,12,0.732881616434248,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
teens,RF,full,13,0.7638307842255211,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
